,station,model MAE,baseline mean MAE,baseline median MAE,model MSE,baseline mean MSE,baseline median MSE,model MAPE,baseline mean MAPE,baseline median MAPE,model MASE,baseline mean MASE,baseline median MASE,model type
44,Tilkanvierto,1.5714285714285714,3.4820215779873473,2.75,5.338571428571429,17.617110455859706,10.916666666666666,2.640947364545547,19.80588018835751,12.778280348359235,0.3781028492981817,0.8378123599712153,0.661679986271818,Gradient Boosting Regressor
45,Tilkantori,1.1357142857142857,2.4671357744401754,1.8333333333333333,2.962380952380952,6.866775540061716,4.166666666666667,6.278712573578949,19.681721992782837,13.75530220119836,0.5198692152917506,1.129322713652193,0.8392018779342724,Gradient Boosting Regressor
46,Tiistinkallio,0.5595238095238095,0.748518474718806,0.4880952380952381,0.8195238095238098,0.8394786768568006,0.8214285714285714,1.155105057544082,6.320236250447026,0.3395647413293811,0.5367843589646608,0.7180981448619522,0.4682586961181084,Gradient Boosting Regressor
47,Tiistiläntie,0.519047619047619,0.8617681068012194,0.8214285714285714,0.5385714285714287,0.9105669375707897,0.8452380952380952,3.23675530818388,8.210225135037062,7.870492282934679,0.4600707063647376,0.7638494948615995,0.728093549063461,Gradient Boosting Regressor
48,Tietäjä,0.3880952380952381,1.1880662863459601,0.9642857142857143,0.3861904761904761,1.4480230218886287,0.9642857142857143,3.5557616986188414,11.718846825392552,9.529478458049887,0.3119592471514267,0.9549930735391433,0.7751134668486369,Light Gradient Boosting Machine
49,Thalianaukio,0.5857142857142856,1.230911829451975,0.7619047619047619,0.7909523809523813,1.8295665213277572,0.9047619047619048,2.7260722470806504,10.060490956440574,6.245164732559691,0.3929465500485908,0.8257994872146516,0.511149983803045,Gradient Boosting Regressor
50,Teurastamo,1.4690476190476192,3.9648096402375135,2.261904761904762,4.833809523809524,18.899831720279046,7.285714285714286,2.753642714171608,20.65027830710408,10.473459154660523,0.37198994816832337,1.0039629168218362,0.5727559979901251,Gradient Boosting Regressor
51,Teollisuuskatu,1.2333333333333332,2.5440461636977525,0.8333333333333334,4.400476190476191,7.01333963812957,1.3095238095238095,6.662646617225805,18.314996608712917,5.795123550875682,0.4506092416120706,0.9294897668513044,0.30446570379193966,Light Gradient Boosting Machine
52,Tenholantie,1.3761904761904762,2.1015252066596806,1.5238095238095237,3.400476190476191,5.596996755672874,3.6904761904761907,1.6951554820475059,8.798364766821205,4.905502576826223,0.4776952017191089,0.7294691577084723,0.528935863495207,Gradient Boosting Regressor
53,Teljäntie,0.769047619047619,1.482791514041514,0.9285714285714286,1.329047619047619,2.555426021377795,1.5476190476190477,3.1969695156988953,10.513609429576437,5.701122830459222,0.4721879222412271,0.9104198840108918,0.5701340237587572,Gradient Boosting Regressor
54,Tekniikantie,0.888095238095238,1.5457071901608324,1.0357142857142858,1.7957142857142854,3.0451667024315983,1.9642857142857142,4.015294941167729,11.689003759020206,6.310295611479238,0.5843495724056827,1.0170455789990513,0.6814800643337052,Gradient Boosting Regressor
55,Tapionaukio,1.026190476190476,2.3689687795648062,1.8095238095238095,2.4909523809523813,6.56929677269794,4.428571428571429,1.66683156917882,14.532479693697026,9.374906663971437,0.44569114113342806,1.0288815021878313,0.7859054924858593,Gradient Boosting Regressor
56,Tapiolan urheilupuisto,0.5452380952380953,0.9854935351624092,0.7142857142857143,0.8861904761904763,1.3154942034706079,1.619047619047619,1.30240973198282,6.945565078197249,0.38837507680276895,0.44582426674833314,0.8058074748191334,0.584049257748908,Gradient Boosting Regressor
57,Tammisalon aukio,0.3095238095238096,0.9215762312442205,0.21428571428571427,0.352857142857143,0.99184465303677,0.30952380952380953,1.168831168831169,8.792248214349359,0.16355124650055522,0.27763207193705514,0.8266217675528902,0.19220681903334583,Gradient Boosting Regressor
58,Takomotie,0.857142857142857,1.854080932784637,0.9642857142857143,1.7385714285714284,4.140170131101773,1.4880952380952381,1.4770844799307796,13.862526433725758,5.506578975676292,0.440539151984043,0.9529277821451821,0.49560654598204845,Light Gradient Boosting Machine
