,Lat,Lon,Helsinki Central Library,Amos Rex,Helsinki Olympic Stadium,Helsinki Cathedral,Senate Square,Vanha Kauppahalli,Helsinki ZOO,Sibelius Monument,Loyly,Suomenlinna,Helsinki Market Square,Temppeliaukio Church,Seurasaari Open-Air Museum,Linnanmaki Amusement Park,Allas Sea Pool
11673,60.1979,25.09082,10.988072999999993,10.977525999999994,10.631288,10.348112999999998,10.461306999999998,10.820632000000002,8.093182,11.355964,13.030854999999999,12.227322000000003,10.601272000000002,11.587093000000001,13.211822,9.703595999999997,10.581397999999997
11674,60.19925,25.09082,10.988072999999993,10.977525999999994,10.631288,10.348112999999998,10.461306999999998,10.820632000000002,8.093182,11.355964,13.030854999999999,12.227322000000003,10.601272000000002,11.587093000000001,13.211822,9.703595999999997,10.581397999999997
11675,60.20196,25.09082,10.901469999999994,10.890922999999995,10.544685000000001,10.261509999999998,10.374703999999998,10.734029000000003,8.006579,11.269361,12.944252,12.140719000000002,10.514669000000001,11.500490000000001,13.125219000000001,9.616992999999999,10.494794999999998
11676,60.20331,25.09082,11.094789999999996,11.086016999999993,10.736517999999998,10.456603999999993,10.569797999999993,10.925861999999995,8.199124,11.461193999999994,13.139345999999998,12.332551999999994,10.706501999999999,11.695583999999998,13.320312999999999,9.812086999999996,10.689888999999994
11677,60.20466,25.09082,11.190592999999994,11.181819999999993,10.832320999999999,10.552406999999993,10.665600999999993,11.021664999999995,8.294927,11.556996999999994,13.235148999999998,12.428354999999994,10.802304999999999,11.791386999999999,13.416115999999999,9.907889999999997,10.785691999999994
11678,60.20601,25.09082,11.319153999999996,11.309698999999991,10.960881999999998,10.680285999999994,10.793479999999992,11.150225999999995,8.423488,11.685557999999993,13.363027999999996,12.556915999999994,10.930865999999998,11.919265999999999,13.543994999999997,10.035768999999995,10.913570999999992
11679,60.20736,25.09082,11.245305999999992,11.234758999999993,10.887808999999994,10.605345999999994,10.718539999999994,11.077152999999992,8.350414999999996,11.612484999999989,13.288087999999998,12.48384299999999,10.857792999999994,11.844325999999999,13.469054999999999,9.960828999999997,10.838630999999994
11680,60.20871,25.09082,11.436151999999993,11.425604999999994,11.078654999999996,10.796191999999996,10.909385999999994,11.267998999999993,8.541260999999999,11.803330999999991,13.478933999999999,12.674688999999992,11.048638999999996,12.035172000000001,13.659901,10.151674999999997,11.029476999999995
11681,60.21006,25.09082,11.384455999999993,11.37915799999999,11.026183999999995,10.747302999999995,10.860496999999997,11.215527999999994,8.488877999999998,11.750859999999992,13.432486999999995,12.622217999999991,10.996167999999996,11.988724999999997,13.612028999999993,10.102252999999997,10.983029999999994
11682,60.21141,25.09082,11.59762399999999,11.587076999999992,11.245434999999995,10.957663999999996,11.070857999999994,11.434778999999995,8.723682,11.970110999999994,13.640405999999993,12.841468999999995,11.215418999999995,12.196643999999996,13.821372999999994,10.313147,11.190948999999993
11683,60.21276,25.09082,11.666666999999991,11.656119999999994,11.314477999999998,11.026706999999996,11.139900999999997,11.503821999999996,8.803207,12.039153999999995,13.709448999999996,12.910511999999997,11.284461999999998,12.265686999999996,13.890415999999995,10.382190000000003,11.259991999999995
11684,60.21411,25.09082,11.631047999999993,11.620500999999996,11.300730999999995,10.991087999999998,11.104281999999998,11.533815999999995,8.803552999999999,12.046515999999995,13.673829999999997,12.959720999999996,11.367405999999997,12.230067999999997,13.854796999999996,10.346571000000004,11.224372999999996
11685,60.21547,25.09082,11.631518999999994,11.627129999999994,11.273246999999996,10.994366000000001,11.107559999999998,11.462590999999996,8.761976000000002,11.997922999999995,13.680458999999995,12.869280999999996,11.243230999999996,12.236696999999996,13.859091999999997,10.349316000000002,11.231001999999995
11686,60.21682,25.09082,11.846009999999993,11.841620999999993,11.487737999999995,11.208857000000002,11.322050999999998,11.677081999999997,8.976467000000003,12.212413999999995,13.894949999999996,13.083771999999996,11.457721999999997,12.451187999999997,14.073582999999998,10.563807000000002,11.445492999999995
11687,60.21817,25.09082,11.968089999999993,11.963700999999993,11.609817999999995,11.330937000000002,11.444130999999997,11.799161999999997,9.098547000000002,12.334493999999996,14.017029999999995,13.205851999999995,11.579801999999995,12.573267999999997,14.195662999999996,10.685887000000003,11.567572999999994
