,departure_name,departure_latitude,departure_longitude
4838,Avaruuskatu,60.168971,24.724908
4844,Von Daehnin katu,60.23033717886547,25.04356806988234
4898,Haukilahdenranta,60.158048,24.769864
5013,Humalniementie,60.18374384938291,25.05303785910193
5204,Gransinmäki,60.222154,24.804898
5585,Ruutikatu,60.223377,24.820635
5702,Säterinrinne,60.214193,24.805613
5708,Innopoli,60.185096,24.81422
5897,Lauttasaaren ostoskeskus,60.1603306,24.8815441
5986,Lystimäki,60.172814,24.745666
5995,Eränkävijäntori,60.204561663649095,25.033597412211737
6368,Hernesaarenranta,60.15352968178976,24.93125406706023
6981,Prinsessantie,60.206340232662725,25.06009233354084
6995,Koivu-Mankkaa,60.182976,24.78576
7039,Pasilan asema,60.198210866794,24.9327990790329
7184,Upseerinkatu,60.216067,24.819396
7198,Marttila,60.227143233822176,24.873227365442304
7329,Tietäjä,60.189143,24.807083
7449,Merihaka,60.17806592826971,24.958452215046275
7559,Hagalundinpuisto,60.18363,24.817403
7640,Haagan tori,60.21227524113252,24.89955113635681
7705,Alakiventie,60.21985096601641,25.077470244052627
7763,Nokkala,60.147974,24.754344
7883,Puotinkylän kartano,60.21250990784526,25.10619874297898
7910,Toppelundinportti,60.1624471,24.7848628
7919,Tunnelitie,60.21661653745581,24.89954369574049
8154,Näyttelijäntie,60.23285213757895,24.887434554817386
8192,Ilmalan asema,60.206626437691405,24.922219888430064
8649,Suurpellonaukio,60.184596,24.744131
8693,Sähkömies,60.188499,24.829985
8701,Uimastadion,60.1892172,24.9292286
8862,Hauenkallio,60.162477,24.767831
8912,Länsiterminaali,60.150395628620245,24.915862667368163
10367,Kaisaniemenpuisto,60.17319894172505,24.943301000681707
11838,Puotinharju,60.21249416558419,25.08232209439382
16441,Jämeräntaival,60.188118,24.835033
16832,Lauttasaarensilta,60.1611858260783,24.8899154000946
16907,Ratapihantie,60.196431,24.936256
17247,Erottajan aukio,60.166890083486,24.9442610720753
18977,Korkeasaari,60.1799061407845,24.9825269338027
19165,Oulunkylän asema,60.2291001633593,24.9667185624346
23782,Oravannahkatori,60.175769,24.792559
