,nearest_node_index,Lat,Lon
217,5519426727,60.21276,24.67247
218,260168154,60.21411,24.67247
219,260168154,60.21547,24.67247
220,260168154,60.21682,24.67247
221,2336856834,60.21816999999999,24.67247
222,3279157480,60.21952,24.67247
223,7531993127,60.22087,24.67247
224,569985204,60.22221999999999,24.67247
225,7522189535,60.22357,24.67247
226,7450493141,60.22492,24.67247
227,270906466,60.22626999999999,24.67247
228,270906400,60.22762,24.67247
229,270906396,60.22897,24.67247
230,7476911444,60.23033,24.67247
231,7476911454,60.23168,24.67247
232,6943191892,60.23303000000001,24.67247
233,7476911500,60.23438,24.67247
234,7476911463,60.23573,24.67247
235,7476911463,60.237080000000006,24.67247
236,899273956,60.23843000000001,24.67247
237,899273745,60.23978,24.67247
238,7623820758,60.241130000000005,24.67247
239,9084162523,60.13441,24.67519
240,8995855525,60.13576,24.67519
241,8209562170,60.13711,24.67519
242,1431370348,60.13846,24.67519
243,8872652012,60.13981999999999,24.67519
244,8872651996,60.14117,24.67519
245,504319666,60.14252,24.67519
246,29732606,60.14386999999999,24.67519
247,57783481,60.14522,24.67519
248,249311080,60.14657,24.67519
249,240985071,60.14791999999999,24.67519
250,6876027789,60.14927,24.67519
251,8342777464,60.15062,24.67519
252,190789138,60.15197,24.67519
253,340018377,60.15332,24.67519
254,190789097,60.154680000000006,24.67519
255,250053860,60.15603,24.67519
256,7526668586,60.15738,24.67519
257,8623057449,60.158730000000006,24.67519
258,57815192,60.16008000000001,24.67519
259,7976978765,60.16143,24.67519
260,60455968,60.162780000000005,24.67519
261,7532910902,60.16413000000001,24.67519
262,7532910897,60.16548,24.67519
263,252936631,60.16683,24.67519
264,7274087059,60.16818000000001,24.67519
265,7274086902,60.169540000000005,24.67519
266,7274086892,60.17089,24.67519
267,3310232392,60.17224,24.67519
268,276514432,60.17359,24.67519
269,275284569,60.17494,24.67519
270,5508759774,60.17629,24.67519
271,5508804916,60.17764,24.67519
272,5508805821,60.17899,24.67519
273,8946207956,60.18034,24.67519
274,3232616637,60.18169,24.67519
275,256121000,60.183040000000005,24.67519
276,473099764,60.1844,24.67519
277,8952004325,60.18575,24.67519
278,473099737,60.1871,24.67519
279,9233005026,60.18845,24.67519
280,9233005026,60.1898,24.67519
281,1571014736,60.19115,24.67519
282,2319857774,60.1925,24.67519
283,2319862045,60.19385,24.67519
284,256123365,60.1952,24.67519
285,2319225241,60.19655,24.67519
286,2369007640,60.1979,24.67519
287,310579054,60.19925,24.67519
288,2319422785,60.20061,24.67519
289,1023809530,60.20196,24.67519
290,1550923369,60.20331,24.67519
291,1543953479,60.20466,24.67519
292,278957959,60.20601,24.67519
293,316496698,60.20736,24.67519
294,402340241,60.20871,24.67519
295,260168197,60.21006,24.67519
296,5519425120,60.21141,24.67519
297,7555827943,60.21276,24.67519
298,1107548045,60.21411,24.67519
299,260168154,60.21547,24.67519
300,260168154,60.21682,24.67519
301,3279157477,60.21816999999999,24.67519
