,station_name,latitude,longitude,number
63,Herttoniemenranta,60.19021014587901,25.026065710136564,120.35056497175141
64,Herttoniemi (M),60.194614624348006,25.02887208274608,378.047175141243
65,Hietalahdentori,60.1622251,24.9297099,782.9225105189341
66,Hietaniemenkatu,60.1733331557525,24.907670424697,442.68104254324453
67,Hollolantie,60.19588479865,24.95453389981,180.28574879227054
68,Humalniementie,60.18374384938291,25.05303785910193,48.8864406779661
69,Huopalahden asema,60.218088561019165,24.89505934373838,192.49774011299434
70,Huopalahdentie,60.1996653,24.8836209,515.7978027115474
71,Huovitie,60.22197553556329,24.903286646676616,78.02413793103449
72,Hämeenlinnanväylä,60.227451,24.902832,53.88248587570621
73,Ida Aalbergin tie,60.229488,24.895199,64.13022598870057
74,Ilmalan asema,60.206626437691405,24.922219888430064,77.30169491525425
75,Innopoli,60.185096,24.81422,62.70618623272633
76,Intiankatu,60.2078582,24.9676383,316.5954885460496
77,Isoisänsilta,60.18265182058,24.98179260578,477.35350043215215
78,Isosaarentie,60.17549032254954,25.04490070593989,60.36751412429379
79,Itäkeskus (M),60.20960066552812,25.07596801515546,188.26158192090395
80,Itäkeskus Metrovarikko,60.211446,25.065816,16.132890365448507
81,Itälahdenkatu,60.15066,24.8812502,306.12353903693315
82,Itämerentori,60.1635309,24.9145165,2020.427769985975
83,Itäportti,60.174914,24.738122,48.6676998579362
84,Jalavatie,60.1934696,24.905889,207.15532959326788
85,Juhana Herttuan tie,60.2184427,24.9664619,176.6819775596073
86,Jämeräntaival,60.188118,24.835033,485.6314090145938
87,Jännetie,60.226769960915966,24.85354095884256,102.95960451977402
88,Jätkäsaarenlaituri,60.1619311,24.9214896,650.2609864422628
89,Jäähalli,60.1894025,24.9205978,213.93069191210844
90,Kaapelitehdas,60.1618133723859,24.9065572669725,204.07999999999998
91,Kaisaniemenpuisto,60.17319894172505,24.943301000681707,579.3928237494156
92,Kaivopuisto,60.15544479382098,24.95029288969032,593.426834969612
93,Kalasatama (M),60.18755649,24.9770684,860.1720430107526
94,Kalevalantie,60.184765,24.804022,96.41314735890481
95,Kalevankatu,60.16568,24.931422,402.301659654044
96,Kalkkipellonmäki,60.220551,24.833536,47.63168831168831
97,Kamppi (M),60.1686095,24.9305373,1115.2988546049555
98,Kanavaranta,60.168384,24.9583814,766.445652173913
99,Kansallismuseo,60.1739641,24.9329875,260.8132304815334
