,Temperature,Cloud Cover,Wind Gust,Precipitation,Sea Level Pressure,Relative Humidity,Snow Depth,Wind Speed,cal_year,cal_month,cal_day,cal_hour,date
15791,16.517857142857157,7.125,2.953571428571421,2.812564995717063e-15,1003.7958333333335,85.78571428571429,0.0,2.1928571428571297,2019,8,8,22,2019-08-08 22:00:00
15792,15.314285714285726,4.666666666666667,2.610714285714278,2.812564995717063e-15,1003.8291666666668,90.71428571428571,0.0,2.0107142857142724,2019,8,9,0,2019-08-09 00:00:00
15793,14.678571428571441,5.916666666666667,3.314285714285707,2.812564995717063e-15,1004.1625,92.64285714285714,0.0,2.41785714285713,2019,8,9,2,2019-08-09 02:00:00
15794,14.803571428571441,6.166666666666667,3.6499999999999924,2.812564995717063e-15,1004.6125000000002,91.17857142857143,0.0,2.546428571428559,2019,8,9,4,2019-08-09 04:00:00
15795,16.171428571428585,6.25,3.5535714285714213,2.812564995717063e-15,1005.0916666666667,85.75,0.0,2.6035714285714158,2019,8,9,6,2019-08-09 06:00:00
15796,18.239285714285725,3.7916666666666665,4.217857142857135,2.812564995717063e-15,1005.7541666666666,76.28571428571429,0.0,2.7642857142857014,2019,8,9,8,2019-08-09 08:00:00
15797,19.600000000000012,4.5,4.003571428571422,2.812564995717063e-15,1006.375,66.82142857142857,0.0,2.5749999999999864,2019,8,9,10,2019-08-09 10:00:00
15798,20.80357142857144,3.375,4.53214285714285,2.812564995717063e-15,1006.5916666666666,59.42857142857143,0.0,2.5357142857142727,2019,8,9,12,2019-08-09 12:00:00
15799,20.696428571428584,3.125,5.685714285714279,2.812564995717063e-15,1007.3208333333333,66.03571428571429,0.0,4.007142857142844,2019,8,9,14,2019-08-09 14:00:00
15800,19.00357142857144,4.541666666666667,5.803571428571423,0.05000000000000281,1008.25,76.57142857142857,0.0,4.346428571428558,2019,8,9,16,2019-08-09 16:00:00
15801,17.642857142857157,2.875,2.50714285714285,0.11666666666666947,1009.3291666666668,79.0,0.0,1.7642857142857014,2019,8,9,18,2019-08-09 18:00:00
15802,16.057142857142868,2.2083333333333335,1.8464285714285644,2.812564995717063e-15,1010.475,86.07142857142857,0.0,1.3678571428571296,2019,8,9,20,2019-08-09 20:00:00
15803,14.753571428571442,0.375,2.2142857142857073,2.812564995717063e-15,1011.3416666666667,90.57142857142857,0.0,1.6285714285714157,2019,8,9,22,2019-08-09 22:00:00
15804,13.817857142857154,0.0,2.3499999999999934,2.812564995717063e-15,1011.9916666666668,91.57142857142857,0.0,1.8892857142857014,2019,8,10,0,2019-08-10 00:00:00
15805,13.210714285714298,0.125,2.0749999999999944,2.812564995717063e-15,1012.35,92.32142857142857,0.0,1.6357142857142737,2019,8,10,2,2019-08-10 02:00:00
15806,14.817857142857154,0.041666666666666664,1.532142857142852,2.812564995717063e-15,1012.9458333333333,88.0,0.0,1.174999999999989,2019,8,10,4,2019-08-10 04:00:00
15807,18.27500000000001,0.041666666666666664,2.810714285714279,2.812564995717063e-15,1013.5541666666667,79.60714285714286,0.0,2.0035714285714152,2019,8,10,6,2019-08-10 06:00:00
15808,19.610714285714298,0.375,3.8714285714285643,2.812564995717063e-15,1013.9833333333332,72.92857142857143,0.0,2.6999999999999864,2019,8,10,8,2019-08-10 08:00:00
15809,19.996428571428584,0.041666666666666664,4.5392857142857075,2.812564995717063e-15,1013.8916666666668,70.07142857142857,0.0,3.1964285714285583,2019,8,10,10,2019-08-10 10:00:00
15810,19.857142857142865,0.25,4.585714285714279,2.812564995717063e-15,1013.9500000000002,70.75,0.0,3.1142857142857006,2019,8,10,12,2019-08-10 12:00:00
