,station,latitude,longitude,degree_centr,in_degree_centr,out_degree_centr,betwenneess_centr,eigenvector_centr,closeness_centr,pagerank_value,Neigh_1_dist,Neigh_2_dist,Neigh_3_dist,Neigh_1_name,Neigh_2_name,Neigh_3_name,degree_centr1,in_degree_centr1,out_degree_centr1,betwenneess_centr1,eigenvector_centr1,closeness_centr1,degree_centr2,in_degree_centr2,out_degree_centr2,betwenneess_centr2,eigenvector_centr2,closeness_centr2,degree_centr3,in_degree_centr3,out_degree_centr3,betwenneess_centr3,eigenvector_centr3,closeness_centr3
287,Sepetlahdentie,60.152343,24.741234,0.13583815028901733,0.06647398843930635,0.06936416184971098,7.991555536076434e-05,0.0003541096486978414,0.34634634634634637,0.0019749127147516386,0.42686767552272614,0.49298112336396854,0.5300445285123718,Matinkyläntie,Nuottaniementie,Tiistiläntie,0.15606936416184972,0.07803468208092486,0.07803468208092486,0.00023702307092827188,0.0005203185494697119,0.3537832310838446,0.10693641618497109,0.05491329479768786,0.05202312138728323,1.3173378142095487e-05,0.0002483528234862412,0.33657587548638135,0.13005780346820808,0.06647398843930635,0.06358381502890173,5.268215624543899e-05,0.00039761956187599266,0.3466933867735471
288,Suomenlahdentie,60.160015,24.741294,0.2976878612716763,0.1445086705202312,0.15317919075144507,0.012309419414478771,0.0030585215120340166,0.4588859416445623,0.0035918930317035734,0.31036561141031493,0.3442526502672106,0.38194617624485405,Piispansilta,Nelikkotie,Outotec,0.34393063583815026,0.17630057803468208,0.1676300578034682,0.011570082727593444,0.003810008665499462,0.4785615491009682,0.20809248554913293,0.10693641618497109,0.10115606936416184,0.002081374498972043,0.0015831802589555122,0.4379746835443038,0.02023121387283237,0.011560693641618497,0.008670520231213872,1.0163653297458716e-06,4.5871698317253105e-05,0.31655992680695333
289,Tiistiläntie,60.156755,24.737664,0.13005780346820808,0.06647398843930635,0.06358381502890173,5.268215624543899e-05,0.00039761956187599266,0.3466933867735471,0.001943321900587836,0.41540350953516264,0.4232029333844408,0.5300445285123718,Suomenlahdentie,Matinkyläntie,Sepetlahdentie,0.2976878612716763,0.1445086705202312,0.15317919075144507,0.012309419414478771,0.0030585215120340166,0.4588859416445623,0.15606936416184972,0.07803468208092486,0.07803468208092486,0.00023702307092827188,0.0005203185494697119,0.3537832310838446,0.13583815028901733,0.06647398843930635,0.06936416184971098,7.991555536076434e-05,0.0003541096486978414,0.34634634634634637
290,Tiistinkallio,60.153737,24.729112,0.11849710982658959,0.06069364161849711,0.057803468208092484,9.435212860868862e-05,0.0002892678703949842,0.33822091886608013,0.001855317168035071,0.5819407852783407,0.6909626459028119,0.8054722162302845,Tiistiläntie,Sepetlahdentie,Etuniementie,0.13005780346820808,0.06647398843930635,0.06358381502890173,5.268215624543899e-05,0.00039761956187599266,0.3466933867735471,0.13583815028901733,0.06647398843930635,0.06936416184971098,7.991555536076434e-05,0.0003541096486978414,0.34634634634634637,0.11271676300578035,0.05491329479768786,0.057803468208092484,0.0007963732279110751,0.0002103263529437748,0.33690360272638753
291,Tunnelitie,60.21661653745581,24.89954369574049,0.3901734104046243,0.19653179190751444,0.1936416184971098,0.004096763467686047,0.03576435527269524,0.47790055248618785,0.0027379185913997883,0.29781221025967997,0.4836897180554855,0.6320975637038899,Huopalahden asema,Haagan tori,Huovitie,0.3583815028901734,0.1791907514450867,0.1791907514450867,0.00272605863794213,0.02850785567845434,0.4726775956284153,0.43641618497109824,0.21387283236994217,0.22254335260115607,0.002001123883630099,0.04681821328741158,0.5133531157270029,0.17052023121387283,0.08670520231213873,0.0838150289017341,0.00013149408403474253,0.014357198075534018,0.4314214463840399
292,Derby Business Park,60.209017,24.835356,0.005780346820809248,0.002890173410404624,0.002890173410404624,0.0,1.6615216009576985e-05,0.2922297297297297,0.0005140940899712405,0.436326635287147,0.6076847639495496,0.8905279890529219,Gallen-Kallelan tie,Majurinkulma,Elfvik,0.21676300578034682,0.11271676300578035,0.10404624277456646,0.003564136420806053,0.011658622695679858,0.4481865284974093,0.21965317919075145,0.11271676300578035,0.10693641618497109,0.0052498958275650695,0.00562365444289908,0.43686868686868685,0.0838150289017341,0.03757225433526011,0.046242774566473986,5.09697785065266e-05,0.0016539141056852132,0.40705882352941175
293,Ilmalan asema,60.206626437691405,24.922219888430064,0.15895953757225434,0.07803468208092486,0.08092485549132948,0.0009381888100454807,0.013990434358673549,0.46380697050938335,0.0013273331934833764,0.27868757274733985,0.45559635847912566,0.8424990031394615,Radiokatu,Hertanmäenkatu,Rautatieläisenkatu,0.4682080924855491,0.2254335260115607,0.24277456647398843,0.00029134301129342345,0.056569546777034206,0.5118343195266272,0.6040462427745664,0.29190751445086704,0.31213872832369943,0.0016248502372812387,0.07006173273209775,0.5339506172839507,0.6936416184971098,0.3352601156069364,0.3583815028901734,0.009645117745705183,0.06970377860155508,0.5509554140127388
294,Prinsessantie,60.206340232662725,25.06009233354084,0.06647398843930635,0.031791907514450865,0.03468208092485549,1.2450472453358946e-05,0.0005650684847216844,0.3314176245210728,0.0011843974916651847,0.4145439208328569,0.4754451775599683,0.6514031077360338,Roihupelto,Tulisuontie,Itäkeskus Metrovarikko,0.20231213872832368,0.10115606936416184,0.10115606936416184,0.0021899046319071897,0.0033340996997374543,0.40279394644935973,0.17052023121387283,0.08670520231213873,0.0838150289017341,0.000757278851342261,0.002286840371668375,0.39588100686498856,0.005780346820809248,0.002890173410404624,0.002890173410404624,0.0,1.5156830800916978e-05,0.2675947409126063
295,Siilitie 13,60.215063371665806,25.04379377901174,0.06936416184971098,0.031791907514450865,0.03757225433526011,2.6621101444858957e-05,0.0007420314096944814,0.34088669950738915,0.0011296737748212747,0.7140619287320928,0.915116949208233,0.9200658520051298,Siilitie 9,Roihupelto,Mamsellimyllynkatu,0.13005780346820808,0.06358381502890173,0.06647398843930635,0.00028161496085986283,0.002866185990768782,0.3949771689497717,0.20231213872832368,0.10115606936416184,0.10115606936416184,0.0021899046319071897,0.0033340996997374543,0.40279394644935973,0.06358381502890173,0.031791907514450865,0.031791907514450865,1.794554498096667e-05,0.000527878574160631,0.34088669950738915
296,Huopalahden asema,60.218088561019165,24.89505934373838,0.3583815028901734,0.1791907514450867,0.1791907514450867,0.00272605863794213,0.02850785567845434,0.4726775956284153,0.0026494887691948816,0.29781221025967997,0.6289002410595929,0.6939149757689436,Tunnelitie,Huovitie,Haagan tori,0.3901734104046243,0.19653179190751444,0.1936416184971098,0.004096763467686047,0.03576435527269524,0.47790055248618785,0.17052023121387283,0.08670520231213873,0.0838150289017341,0.00013149408403474253,0.014357198075534018,0.4314214463840399,0.43641618497109824,0.21387283236994217,0.22254335260115607,0.002001123883630099,0.04681821328741158,0.5133531157270029
