,departure,number,departure_name,departure_latitude,departure_longitude
122,Kriikunakuja,43.76086956521739,Kriikunakuja,60.2056785,24.8916817
123,Kuikkarinne,96.31460674157303,Kuikkarinne,60.15708560052,24.86930605276
124,Kulosaari (M),105.7457627118644,Kulosaari (M),60.188950088551046,25.006566530899704
125,Kulttuuriaukio,35.71264367816092,Kulttuuriaukio,60.177588,24.803942
126,Kustaankartano,19.55,Kustaankartano,60.2307028705708,24.9487651621967
127,Kustaankatu,98.88764044943821,Kustaankatu,60.1882752174,24.95597593163
128,Kutsuntatie,9.586666666666666,Kutsuntatie,60.230453,24.824561
129,Kuunkatu,40.40217391304348,Kuunkatu,60.172673,24.726025
130,Kuusitie,108.98913043478261,Kuusitie,60.1952452,24.9018997
131,Kylävoudintie,28.3,Kylävoudintie,60.22440378465167,24.95256124358972
132,Käpylän asema,46.70652173913044,Käpylän asema,60.2208057097763,24.9479290250383
133,Käpyläntie,68.09782608695652,Käpyläntie,60.2139043,24.9588108
134,Käskynhaltijantie,16.066666666666666,Käskynhaltijantie,60.2332319517011,24.9579341169413
135,Laajalahden aukio,147.68478260869566,Laajalahden aukio,60.19793090756802,24.876221716500662
136,Laajalahden keskus,18.02173913043478,Laajalahden keskus,60.203892,24.80493
137,Laajasalon ostoskeskus,50.08163265306123,Laajasalon ostoskeskus,60.18009213610057,25.05188370479307
138,Laivalahden puistotie,55.57627118644068,Laivalahden puistotie,60.18795810306132,25.031385306773423
139,Laivasillankatu,102.73913043478261,Laivasillankatu,60.160959094315416,24.95634747175871
140,Lastenlehto,100.96739130434783,Lastenlehto,60.1658121,24.927021
141,Lauttasaaren ostoskeskus,180.0,Lauttasaaren ostoskeskus,60.1603306,24.8815441
142,Lauttasaarensilta,139.7826086956522,Lauttasaarensilta,60.1611858260783,24.8899154000946
143,Lehtisaarentie,97.45555555555555,Lehtisaarentie,60.1818132200983,24.8504396679317
144,Lepolantie,24.883333333333333,Lepolantie,60.23910894200569,24.92859501499382
145,Leppäsuonaukio,120.72222222222223,Leppäsuonaukio,60.16957343209,24.92659049777
146,Leppävaaran uimahalli,23.213333333333335,Leppävaaran uimahalli,60.226379,24.804735
147,Leppävaaran urheilupuisto,25.24,Leppävaaran urheilupuisto,60.224943,24.800971
